"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"UZB","","ALL","2016","99"
"GEO","","ALL","2000","95"
"UZB","","ALL","2000","98"
"GEO","","ALL","1996","70"
"LTU","","ALL","1997","98"
"KAZ","","ALL","2014","95"
"FRA","","ALL","1998","81"
"ALB","","ALL","1987","92"
"GBR","","ALL","1983","74"
"GBR","","ALL","1996","10"
"LVA","","ALL","2001","99"
"AUT","","ALL","1984","90"
"HUN","","ALL","2011","99"
"AUT","","ALL","1983","90"
"LTU","","ALL","2013","98"
"GBR","","ALL","1992","7"
"HRV","","ALL","2010","98"
"","SEEHN","ALL","2012","89.98340256"
"GBR","","ALL","1987","96"
"LTU","","ALL","1992","94"
"MKD","","ALL","1997","97"
"ARM","","ALL","2000","97"
"TJK","","ALL","1993","69"
"","CIS","ALL","2008","95.95303581"
"LTU","","ALL","1994","96"
"MLT","","ALL","1993","77"
"MKD","","ALL","1998","90"
"LTU","","ALL","2000","99"
"","WHO_EURO","ALL","1993","76.28206437"
"","WHO_EURO","ALL","1992","77.29660863"
"GEO","","ALL","1998","94"
"BIH","","ALL","2002","91"
"","WHO_EURO","ALL","1995","78.88156324"
"BIH","","ALL","2006","97"
"UZB","","ALL","1994","93"
"","WHO_EURO","ALL","1998","81.32835489"
"GEO","","ALL","1987","95"
"","WHO_EURO","ALL","2000","83.21839822"
"BLR","","ALL","1986","92"
"SRB","","ALL","2014","98"
"SRB","","ALL","2006","99"
"SRB","","ALL","2010","99"
"FIN","","ALL","1989","91"
"BLR","","ALL","1997","98"
"SWE","","ALL","2015","24"
"","CARINFONET","ALL","2012","97.62270958"
"ALB","","ALL","1986","92"
"","CARINFONET","ALL","2013","97.79889001"
"","SEEHN","ALL","1998","90.04193569"
"FRA","","ALL","1986","84"
"","SEEHN","ALL","2004","91.26375894"
"LVA","","ALL","1990","93"
"ALB","","ALL","2007","98"
"AUT","","ALL","1986","90"
"MKD","","ALL","2001","97"
"AUT","","ALL","1988","90"
"MLT","","ALL","1989","79"
"HUN","","ALL","1988","99"
"BIH","","ALL","2009","97"
"BGR","","ALL","2006","98"
"KAZ","","ALL","2008","97"
"AZE","","ALL","1993","91"
"BIH","","ALL","1994","85"
"TJK","","ALL","1994","96"
"SVN","","ALL","2000","98"
"UKR","","ALL","2007","98"
"SVK","","ALL","1996","96"
"MDA","","ALL","1987","96"
"HUN","","ALL","2002","99"
"LTU","","ALL","2008","99"
"POL","","ALL","2015","94"
"RUS","","ALL","2011","95"
"NOR","","ALL","2008","93"
"FRA","","ALL","2006","83"
"IRL","","ALL","2007","93"
"IRL","","ALL","2006","93"
"AZE","","ALL","2013","98"
"TUR","","ALL","1988","16"
"PRT","","ALL","1997","87"
"POL","","ALL","2005","94"
"MKD","","ALL","2013","97"
"HRV","","ALL","2007","99"
"UKR","","ALL","1997","97"
"ALB","","ALL","2005","98"
"HRV","","ALL","1996","99"
"BLR","","ALL","2000","99"
"FRA","","ALL","1999","83"
"","EU_AFTER_MAY2004","ALL","1995","97.82710132"
"FRA","","ALL","2000","83"
"ALB","","ALL","1997","94"
"AUT","","ALL","1981","90"
"","SEEHN","ALL","2003","88.35993674"
"MKD","","ALL","1999","97"
"AZE","","ALL","2012","98"
"BIH","","ALL","2012","96"
"HUN","","ALL","1987","99"
"MKD","","ALL","1995","95"
"RUS","","ALL","1994","92"
"MKD","","ALL","2002","91"
"RUS","","ALL","1995","92"
"TJK","","ALL","2005","98"
"KAZ","","ALL","2011","96"
"IRL","","ALL","2008","94"
"HUN","","ALL","1998","99"
"MCO","","ALL","1999","99"
"KGZ","","ALL","1993","95"
"TJK","","ALL","2010","98"
"SVK","","ALL","2011","97"
"KGZ","","ALL","1990","98"
"LTU","","ALL","2009","99"
"FIN","","ALL","1996","99"
"POL","","ALL","2008","93"
"TUR","","ALL","1986","27"
"GRC","","ALL","1981","95"
"FRA","","ALL","2005","81"
"BLR","","ALL","2013","99"
"UKR","","ALL","2000","99"
"BIH","","ALL","2007","98"
